ID,age,body.height,a.vtl,e.vtl,i.vtl,o.vtl,u.vtl,mean
M35,38,178,17.9,16.11,17.8,18.6,18.10,17.11
M36,40,179,16.11,16.5,16.10,17.5,19,16.11
M37,40,177,16.10,16.3,16.5,18.6,17.4,19
M38,49,177,17.3,16.6,16.10,17.5,19,16.11
M39,54,167,16.9,18,16.4,17.7,19,16.9
M40,57,170,18.5,17.7,20,19.5,18.9,18.6
M41,26,177,15.10,15.8,16.3,16.10,16.10,16.4
M42,42,164,16.10,16.5,16.8,17.10,16.10,16.11
M43,29,186,19,16.8,16.11,20,20,17.5
M44,46,171,16.10,16.6,16.5,17.6,17.11,19
M45,37,177,16.3,15.7,15.10,17.9,17.6,16.7
M46,32,172,16.6,15.8,19,17.5,16.10,16.6
M47,32,178,16.5,15.6,15.11,17.6,17.5,16.7
M48,33,174,16.8,15.11,16.8,17.6,20,16.9
M49,37,181,17.6,16.5,17.6,18.8,17.12,17.7
M50,39,179,17.10,16.12,17.9,18.7,18.11,17.12
M51,41,180,16.12,16.6,16.11,17.6,20,16.12
M52,41,178,16.11,16.4,16.6,18.7,17.5,20
M53,50,178,17.4,16.7,16.11,17.6,20,16.12
M54,55,168,16.10,19,16.5,17.8,20,16.10
M55,58,171,18.6,17.8,21,19.6,18.10,18.7
M56,27,178,15.11,15.9,16.4,16.11,16.11,16.5
M57,43,165,16.11,16.6,16.9,17.11,16.11,16.12
M58,30,187,20,16.9,16.12,21,21,17.6
M59,47,172,16.11,16.7,16.6,17.7,17.12,20
M60,38,178,16.4,15.8,15.11,17.10,17.7,16.8
M61,33,173,16.7,15.9,20,17.6,16.11,16.7
M62,33,179,16.6,15.7,15.12,17.7,17.6,16.8
M63,34,175,16.9,15.12,16.9,17.7,21,16.10
M64,38,182,17.7,16.6,17.7,18.9,17.13,17.8
M65,40,180,17.11,16.13,17.10,18.8,18.12,17.13
M66,42,181,16.13,16.7,16.12,17.7,21,16.13
M67,42,179,16.12,16.5,16.7,18.8,17.6,21
M68,51,179,17.5,16.8,16.12,17.7,21,16.13
M69,56,169,16.11,20,16.6,17.9,21,16.11
M70,59,172,18.7,17.9,22,19.7,18.11,18.8
M71,28,179,15.12,15.10,16.5,16.12,16.12,16.6
M72,44,166,16.12,16.7,16.10,17.12,16.12,16.13
M73,31,188,21,16.10,16.13,22,22,17.7
M74,48,173,16.12,16.8,16.7,17.8,17.13,21
M75,39,179,16.5,15.9,15.12,17.11,17.8,16.9
M76,34,174,16.8,15.10,21,17.7,16.12,16.8
M77,34,180,16.7,15.8,15.13,17.8,17.7,16.9
M78,35,176,16.10,15.13,16.10,17.8,22,16.11
M79,39,183,17.8,16.7,17.8,18.10,17.14,17.9
M80,41,181,17.12,16.14,17.11,18.9,18.13,17.14
M81,43,182,16.14,16.8,16.13,17.8,22,16.14
M82,43,180,16.13,16.6,16.8,18.9,17.7,22
M83,52,180,17.6,16.9,16.13,17.8,22,16.14
M84,57,170,16.12,21,16.7,17.10,22,16.12
M85,60,173,18.8,17.10,23,19.8,18.12,18.9
M86,29,180,15.13,15.11,16.6,16.13,16.13,16.7
M87,45,167,16.13,16.8,16.11,17.13,16.13,16.14
M88,32,189,22,16.11,16.14,23,23,17.8
M89,49,174,16.13,16.9,16.8,17.9,17.14,22
M90,40,180,16.6,15.10,15.13,17.12,17.9,16.10
M91,35,175,16.9,15.11,22,17.8,16.13,16.9
M92,35,181,16.8,15.9,15.14,17.9,17.8,16.10
M93,36,177,16.11,15.14,16.11,17.9,23,16.12
M94,40,184,17.9,16.8,17.9,18.11,17.15,17.10
M95,42,182,17.13,16.15,17.12,18.10,18.14,17.15
M96,44,183,16.15,16.9,16.14,17.9,23,16.15
M97,44,181,16.14,16.7,16.9,18.10,17.8,23
M98,53,181,17.7,16.10,16.14,17.9,23,16.15
M99,58,171,16.13,22,16.8,17.11,23,16.13
M100,61,174,18.9,17.11,24,19.9,18.13,18.10
